Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,15355,15121
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,15986,15738
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,6735,6494
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6833,6580
American Samoa,ASM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1823,1905
American Samoa,ASM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1612,1683
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1692,1757
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1151,1203
Andorra,AND,"Population, total",SP.POP.TOTL,79705,80856
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016,84.041
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.948,6.076
Andorra,AND,"Population ages 15-64, female",SP.POP.1564.FE.IN,27873,28279
Andorra,AND,"Population ages 15-64, male",SP.POP.1564.MA.IN,29813,30207
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,4927,4840
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,5161,5063
Andorra,AND,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,6112,6382
Andorra,AND,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5819,6084
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,74149,77203
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,43796,45394
Angola,AGO,"Population, total",SP.POP.TOTL,35635029,36749906
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246,64.617
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.097,6.925
Angola,AGO,"Population ages 15-64, female",SP.POP.1564.FE.IN,9515193,9837983
Angola,AGO,"Population ages 15-64, male",SP.POP.1564.MA.IN,9182074,9498452
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,7936054,8147813
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,8013428,8232452
Angola,AGO,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,557366,582419
Angola,AGO,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,430914,450785
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1235,1280
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,573,595
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92840,93316
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483,77.598
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.771,6.893
Antigua and Barbuda,ATG,"Population ages 15-64, female",SP.POP.1564.FE.IN,34276,34330
Antigua and Barbuda,ATG,"Population ages 15-64, male",SP.POP.1564.MA.IN,31361,31499
Antigua and Barbuda,ATG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8496,8375
Antigua and Barbuda,ATG,"Population ages 0-14, male",SP.POP.0014.MA.IN,8747,8625
Antigua and Barbuda,ATG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5899,6203
Antigua and Barbuda,ATG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,4062,4285
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1593984,1653629
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1048814,1087848
Arab World,ARB,"Population, total",SP.POP.TOTL,471352066,482105978
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8760956,72.44467836
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.199785257,5.041048973
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,139920326,143745500
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,154363452,158784794
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,76469619,77207256
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,79808792,80586925
Arab World,ARB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,11224625,11750013
Arab World,ARB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,9565257,10031493
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,844487,858214
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,425580,435496
Argentina,ARG,"Population, total",SP.POP.TOTL,45407904,45538401
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.806,77.395
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.797,7.668
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,14687337,14809317
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,14925506,15066752
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,5026054,4917781
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5304582,5187490
Argentina,ARG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,3167383,3214319
Argentina,ARG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2297040,2342742
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,56234,52397
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,24071,21850
Armenia,ARM,"Population, total",SP.POP.TOTL,2969200,2964300
